OPCS_4.9,Description
A25.8,A25.8: Intracranial transection of specified cranial nerve NEC
A25.9,A25.9: Unspecified intracranial transection of cranial nerve
A26.1,A26.1: Intracranial destruction of optic nerve (ii)
A26.2,A26.2: Intracranial destruction of oculomotor nerve (iii)
A26.3,A26.3: Intracranial destruction of trigeminal nerve (v)
A26.4,A26.4: Intracranial destruction of facial nerve (vii)
A26.5,A26.5: Intracranial destruction of acoustic nerve (viii)
A26.6,A26.6: Intracranial destruction of glossopharyngeal nerve (ix)
A26.7,A26.7: Intracranial destruction of vagus nerve (x)
A26.8,A26.8: Intracranial destruction of specified cranial nerve NEC
A26.9,A26.9: Unspecified other intracranial destruction of cranial nerve
A27.1,A27.1: Extracranial truncal vagotomy
A27.2,A27.2: Proximal gastric vagotomy
A27.3,A27.3: Selective extracranial vagotomy NEC
A27.8,A27.8: Other specified extracranial extirpation of vagus nerve (x)
A27.9,A27.9: Unspecified extracranial extirpation of vagus nerve (x)
A28.1,A28.1: Extracranial transection of trigeminal nerve (v) NEC
A28.2,A28.2: Extracranial transection of accessory nerve (xi) NEC
A28.8,A28.8: Other specified extracranial extirpation of other cranial nerve
A28.9,A28.9: Unspecified extracranial extirpation of other cranial nerve
A29.1,A29.1: Excision of lesion of optic nerve (ii)
A29.2,A29.2: Excision of lesion of oculomotor nerve (iii)
A29.3,A29.3: Excision of lesion of trigeminal nerve (v)
A29.4,A29.4: Excision of lesion of facial nerve (vii)
A29.5,A29.5: Excision of lesion of acoustic nerve (viii)
A29.6,A29.6: Excision of lesion of glossopharyngeal nerve (ix)
A29.7,A29.7: Excision of lesion of vagus nerve (x)
A29.8,A29.8: Excision of lesion of specified cranial nerve NEC
A29.9,A29.9: Unspecified excision of lesion of cranial nerve
A30.1,A30.1: Repair of optic nerve (ii)
A30.2,A30.2: Repair of oculomotor nerve (iii)
A30.3,A30.3: Repair of trigeminal nerve (v)
A30.4,A30.4: Repair of facial nerve (vii)
A30.5,A30.5: Repair of acoustic nerve (viii)
A30.6,A30.6: Repair of glossopharyngeal nerve (ix)
A30.7,A30.7: Repair of vagus nerve (x)
A30.8,A30.8: Repair of specified cranial nerve NEC
A30.9,A30.9: Unspecified repair of cranial nerve
A31.1,A31.1: Intracranial stereotactic neurolysis of optic nerve (ii)
A31.2,A31.2: Intracranial stereotactic neurolysis of oculomotor nerve (iii)
A31.3,A31.3: Intracranial stereotactic neurolysis of trigeminal nerve (v)
A31.4,A31.4: Intracranial stereotactic neurolysis of facial nerve (vii)
A31.5,A31.5: Intracranial stereotactic neurolysis of acoustic nerve (viii)
A31.6,A31.6: Intracranial stereotactic neurolysis of glossopharyngeal nerve (ix)
A31.7,A31.7: Intracranial stereotactic neurolysis of vagus nerve (x)
A31.8,A31.8: Intracranial stereotactic neurolysis of specified cranial nerve NEC
A31.9,A31.9: Unspecified intracranial stereotactic release of cranial nerve
A32.1,A32.1: Decompression of optic nerve (ii)
A32.2,A32.2: Decompression of oculomotor nerve (iii)
A32.3,A32.3: Decompression of trigeminal nerve (v)
A32.4,A32.4: Decompression of facial nerve (vii)
A32.5,A32.5: Decompression of acoustic nerve (viii)
A32.6,A32.6: Decompression of glossopharyngeal nerve (ix)
A32.7,A32.7: Decompression of vagus nerve (x)
A32.8,A32.8: Decompression of specified cranial nerve NEC
A32.9,A32.9: Unspecified other decompression of cranial nerve
A33.1,A33.1: Implantation of cranial nerve neurostimulator
A33.2,A33.2: Maintenance of cranial nerve neurostimulator
A33.3,A33.3: Removal of cranial nerve neurostimulator
A33.4,A33.4: Insertion of neurostimulator electrodes adjacent to the cranial nerve
A33.8,A33.8: Other specified neurostimulation of cranial nerve
A33.9,A33.9: Unspecified neurostimulation of cranial nerve
A34.1,A34.1: Exploration of optic nerve (ii)
A34.2,A34.2: Exploration of oculomotor nerve (iii)
A34.3,A34.3: Exploration of trigeminal nerve (v)
A34.4,A34.4: Exploration of facial nerve (vii)
A34.5,A34.5: Exploration of acoustic nerve (viii)
A34.6,A34.6: Exploration of glossopharyngeal nerve (ix)
A34.7,A34.7: Exploration of vagus nerve (x)
A34.8,A34.8: Exploration of specified cranial nerve NEC
A34.9,A34.9: Unspecified exploration of cranial nerve
A36.1,A36.1: Hypoglossofacial anastomosis
A36.2,A36.2: Anastomosis of cranial nerve NEC
A36.3,A36.3: Biopsy of lesion of cranial nerve
A36.4,A36.4: Radial optic neurotomy (ii)
A36.5,A36.5: Denervation of trigeminal nerve (v)
A36.8,A36.8: Other specified other operations on cranial nerve
A36.9,A36.9: Unspecified other operations on cranial nerve
A38.1,A38.1: Extirpation of lesion of meninges of cortex of brain
A38.2,A38.2: Extirpation of lesion of meninges of sphenoidal ridge of cranium
A38.3,A38.3: Extirpation of lesion of meninges of subfrontal region of brain
A38.4,A38.4: Extirpation of lesion of meninges of parasagittal region of brain
A38.5,A38.5: Extirpation of lesion of falx cerebri
A38.6,A38.6: Extirpation of lesion of tentorium cerebelli
A38.8,A38.8: Other specified extirpation of lesion of meninges of brain
A38.9,A38.9: Unspecified extirpation of lesion of meninges of brain
A39.1,A39.1: Repair of meningoencephalocele
A39.2,A39.2: Repair of dura of anterior fossa of cranium
A39.3,A39.3: Repair of dura of middle fossa of cranium
A39.4,A39.4: Repair of dura of posterior fossa of cranium
A39.5,A39.5: Repair of dura of vault of cranium
A39.8,A39.8: Other specified repair of dura
A39.9,A39.9: Unspecified repair of dura
A40.1,A40.1: Evacuation of extradural haematoma
A40.8,A40.8: Other specified drainage of extradural space
A40.9,A40.9: Unspecified drainage of extradural space
A41.1,A41.1: Evacuation of subdural haematoma
A41.2,A41.2: Drainage of abscess of subdural space
A41.8,A41.8: Other specified drainage of subdural space
A41.9,A41.9: Unspecified drainage of subdural space
A42.1,A42.1: Creation of anastomosis of dura
A42.2,A42.2: Biopsy of lesion of meninges of brain
A42.8,A42.8: Other specified other operations on meninges of brain
A42.9,A42.9: Unspecified other operations on meninges of brain
A43.1,A43.1: Extirpation of lesion of meninges of skull base
A43.2,A43.2: Extirpation of lesion of meninges of skull clivus
A43.8,A43.8: Other specified other extirpation of lesion of meninges of brain
A43.9,A43.9: Unspecified other extirpation of lesion of meninges of brain
A44.1,A44.1: Chordectomy of spinal cord
A44.2,A44.2: Extirpation of lesion of spinal cord NEC
A44.3,A44.3: Excision of lesion of intradural intramedullary spinal cord
A44.4,A44.4: Excision of lesion of extradural spinal cord
A44.5,A44.5: Excision of lesion of intradural extramedullary spinal cord
A44.8,A44.8: Other specified partial extirpation of spinal cord
A44.9,A44.9: Unspecified partial extirpation of spinal cord
A45.1,A45.1: Stereotactic chordotomy of spinal cord
A45.2,A45.2: Open chordotomy of spinal cord NEC
A45.3,A45.3: Myelotomy of spinal cord
A45.4,A45.4: Open biopsy of lesion of spinal cord
A45.5,A45.5: Removal of foreign body from spinal cord
A45.6,A45.6: Open aspiration of lesion of spinal cord
A45.8,A45.8: Other specified other open operations on spinal cord
A45.9,A45.9: Unspecified other open operations on spinal cord
A47.1,A47.1: Needle destruction of substantia gelatinosa of cervical spinal cord
A47.2,A47.2: Radiofrequency controlled thermal destruction of spinothalamic tract
A47.3,A47.3: Percutaneous chordotomy of spinal cord
A47.8,A47.8: Other specified other destruction of spinal cord
A47.9,A47.9: Unspecified other destruction of spinal cord
A48.1,A48.1: Biopsy of lesion of spinal cord NEC
A48.2,A48.2: Aspiration of lesion of spinal cord
A48.3,A48.3: Implantation of spinal cord neurostimulator
A48.4,A48.4: Attention to spinal cord neurostimulator NEC
A48.5,A48.5: Reprogramming of spinal cord neurostimulator
A48.6,A48.6: Removal of spinal cord neurostimulator
A48.7,A48.7: Insertion of neurostimulator electrodes adjacent to the spinal cord
A48.8,A48.8: Other specified other operations on spinal cord
A48.9,A48.9: Unspecified other operations on spinal cord
A49.1,A49.1: Freeing of spinal tether NEC
A49.2,A49.2: Closure of spinal myelomeningocele
A49.3,A49.3: Closure of spinal meningocele
A49.4,A49.4: Complex freeing of spinal tether
A49.8,A49.8: Other specified repair of spina bifida
A49.9,A49.9: Unspecified repair of spina bifida
A51.1,A51.1: Extirpation of lesion of meninges of spinal cord
A51.2,A51.2: Freeing of adhesions of meninges of spinal cord
A51.3,A51.3: Biopsy of lesion of meninges of spinal cord
A51.4,A51.4: Endoscopic division of epidural adhesions
A51.5,A51.5: Repair of dura of spinal cord
A51.8,A51.8: Other specified other operations on meninges of spinal cord
A51.9,A51.9: Unspecified other operations on meninges of spinal cord
A52.1,A52.1: Therapeutic lumbar epidural injection
A52.2,A52.2: Therapeutic sacral epidural injection
A52.3,A52.3: Epidural blood patch
A52.8,A52.8: Other specified therapeutic epidural injection
A52.9,A52.9: Unspecified therapeutic epidural injection
A53.1,A53.1: Cerebrospinal syringostomy
A53.2,A53.2: Creation of thecoperitoneal shunt
A53.3,A53.3: Creation of syringoperitoneal shunt
A53.4,A53.4: Creation of lumboperitoneal shunt
A53.5,A53.5: Drainage of cerebrospinal fluid NEC
A53.6,A53.6: Creation of lumbar subcutaneous shunt
A53.8,A53.8: Other specified drainage of spinal canal
A53.9,A53.9: Unspecified drainage of spinal canal
A54.1,A54.1: Injection of destructive substance into cerebrospinal fluid
A54.2,A54.2: Injection of therapeutic substance into cerebrospinal fluid
A54.3,A54.3: Implantation of intrathecal drug delivery device adjacent to spinal cord
A54.4,A54.4: Attention to intrathecal drug delivery device adjacent to spinal cord
A54.5,A54.5: Removal of intrathecal drug delivery device adjacent to spinal cord
A54.8,A54.8: Other specified therapeutic spinal puncture
A54.9,A54.9: Unspecified therapeutic spinal puncture
A55.1,A55.1: Radiculography
A55.2,A55.2: Spinal myelography NEC
A55.3,A55.3: Spinal manometry
A55.8,A55.8: Other specified diagnostic spinal puncture
A55.9,A55.9: Unspecified diagnostic spinal puncture
A57.1,A57.1: Extirpation of lesion of spinal nerve root
A57.2,A57.2: Rhizotomy of spinal nerve root
A57.3,A57.3: Radiofrequency controlled thermal destruction of spinal nerve root
A57.4,A57.4: Injection of destructive substance into spinal nerve root
A57.5,A57.5: Destruction of spinal nerve root NEC
A57.6,A57.6: Reimplantation of spinal nerves into spinal cord
A57.7,A57.7: Injection of therapeutic substance around spinal nerve root
A57.8,A57.8: Other specified operations on spinal nerve root
A57.9,A57.9: Unspecified operations on spinal nerve root
A59.1,A59.1: Total sacrifice of peripheral nerve
A59.2,A59.2: Partial sacrifice of peripheral nerve
A59.8,A59.8: Other specified excision of peripheral nerve
A59.9,A59.9: Unspecified excision of peripheral nerve
A60.1,A60.1: Enucleation of peripheral nerve
A60.2,A60.2: Avulsion of peripheral nerve
A60.3,A60.3: Transection of peripheral nerve
A60.4,A60.4: Radiofrequency controlled thermal destruction of peripheral nerve
A60.5,A60.5: Injection of destructive substance into peripheral nerve
A60.6,A60.6: Selective denervation of peripheral nerve
A60.8,A60.8: Other specified destruction of peripheral nerve
A60.9,A60.9: Unspecified destruction of peripheral nerve
A61.1,A61.1: Excision of lesion of peripheral nerve
A61.2,A61.2: Cryotherapy to lesion of peripheral nerve
A61.3,A61.3: Radiotherapy to lesion of peripheral nerve
A61.4,A61.4: Destruction of lesion of peripheral nerve NEC
A61.8,A61.8: Other specified extirpation of lesion of peripheral nerve
A61.9,A61.9: Unspecified extirpation of lesion of peripheral nerve
A62.1,A62.1: Primary microsurgical graft to peripheral nerve
A62.2,A62.2: Secondary microsurgical graft to peripheral nerve
A62.3,A62.3: Microsurgical graft to peripheral nerve NEC
A62.4,A62.4: Primary microsurgical repair of peripheral nerve NEC
A62.5,A62.5: Secondary microsurgical repair of peripheral nerve NEC
A62.6,A62.6: Microsurgical graft to multiple peripheral nerves NEC
A62.7,A62.7: Microsurgical repair of multiple peripheral nerves NEC
A62.8,A62.8: Other specified microsurgical repair of peripheral nerve
A62.9,A62.9: Unspecified microsurgical repair of peripheral nerve
A63.1,A63.1: Primary graft to peripheral nerve NEC
A63.2,A63.2: Secondary graft to peripheral nerve NEC
A63.8,A63.8: Other specified other graft to peripheral nerve
A63.9,A63.9: Unspecified other graft to peripheral nerve
A64.1,A64.1: Primary approximation of peripheral nerve
A64.2,A64.2: Primary repair of peripheral nerve NEC
A64.3,A64.3: Secondary repair of peripheral nerve and mobilisation of peripheral nerve
A64.4,A64.4: Secondary repair of peripheral nerve NEC
A64.8,A64.8: Other specified other repair of peripheral nerve
A64.9,A64.9: Unspecified other repair of peripheral nerve
A65.1,A65.1: Carpal tunnel release
A65.2,A65.2: Canal of Guyon release
A65.8,A65.8: Other specified release of entrapment of peripheral nerve at wrist
A65.9,A65.9: Unspecified release of entrapment of peripheral nerve at wrist
A66.1,A66.1: Tarsal tunnel release
A66.8,A66.8: Other specified release of entrapment of peripheral nerve at ankle
A66.9,A66.9: Unspecified release of entrapment of peripheral nerve at ankle
A67.1,A67.1: Cubital tunnel release
A67.2,A67.2: Release of entrapment of lateral cutaneous nerve of thigh
A67.3,A67.3: Release of entrapment of plantar digital nerve
A67.8,A67.8: Other specified release of entrapment of peripheral nerve at other site
A67.9,A67.9: Unspecified release of entrapment of peripheral nerve at other site
A68.1,A68.1: Primary neurolysis of peripheral nerve and transposition of peripheral nerve
A68.2,A68.2: Secondary neurolysis of peripheral nerve and transposition of peripheral nerve
A68.3,A68.3: Neurolysis of peripheral nerve and transposition of peripheral nerve NEC
A68.4,A68.4: Primary neurolysis of peripheral nerve NEC
A68.5,A68.5: Secondary neurolysis of peripheral nerve NEC
A68.8,A68.8: Other specified other release of peripheral nerve
A68.9,A68.9: Unspecified other release of peripheral nerve
A69.1,A69.1: Revision of neurolysis of peripheral nerve and transposition of peripheral nerve
A69.2,A69.2: Revision of carpal tunnel release
A69.3,A69.3: Revision of tarsal tunnel release
A69.8,A69.8: Other specified revision of release of peripheral nerve
A69.9,A69.9: Unspecified revision of release of peripheral nerve
A70.1,A70.1: Implantation of peripheral nerve neurostimulator
A70.2,A70.2: Maintenance of peripheral nerve neurostimulator
A70.3,A70.3: Removal of peripheral nerve neurostimulator
A70.4,A70.4: Insertion of neurostimulator electrodes adjacent to peripheral nerve
A70.5,A70.5: Electroacupuncture
A70.6,A70.6: Acupuncture NEC
A70.7,A70.7: Application of transcutaneous electrical nerve stimulator
A70.8,A70.8: Other specified neurostimulation of peripheral nerve
A70.9,A70.9: Unspecified neurostimulation of peripheral nerve
A73.1,A73.1: Biopsy of lesion of peripheral nerve
A73.2,A73.2: Freeing of adhesions of peripheral nerve NEC
A73.3,A73.3: Decompression of peripheral nerve NEC
A73.4,A73.4: Exploration of peripheral nerve
A73.5,A73.5: Injection of therapeutic substance around peripheral nerve
A73.6,A73.6: Transfer and reimplantation of peripheral nerve NEC
A73.8,A73.8: Other specified other operations on peripheral nerve
A73.9,A73.9: Unspecified other operations on peripheral nerve
A75.1,A75.1: Excision of cervical sympathetic nerve
A75.2,A75.2: Excision of thoracic sympathetic nerve
A75.3,A75.3: Excision of lumbar sympathetic nerve
A75.4,A75.4: Excision of perivascular sympathetic nerve
A75.5,A75.5: Excision of splanchnic sympathetic nerve
A75.8,A75.8: Other specified excision of sympathetic nerve
A75.9,A75.9: Unspecified excision of sympathetic nerve
A76.1,A76.1: Chemical destruction of cervical sympathetic nerve
A76.2,A76.2: Chemical destruction of thoracic sympathetic nerve
A76.3,A76.3: Chemical destruction of lumbar sympathetic nerve
A76.4,A76.4: Chemical destruction of perivascular sympathetic nerve
A76.5,A76.5: Chemical destruction of splanchnic sympathetic nerve
A76.8,A76.8: Other specified chemical destruction of sympathetic nerve
A76.9,A76.9: Unspecified chemical destruction of sympathetic nerve
A77.1,A77.1: Cryotherapy to cervical sympathetic nerve
A77.2,A77.2: Cryotherapy to thoracic sympathetic nerve
A77.3,A77.3: Cryotherapy to lumbar sympathetic nerve
A77.4,A77.4: Cryotherapy to perivascular sympathetic nerve
A77.5,A77.5: Cryotherapy to splanchnic sympathetic nerve
A77.8,A77.8: Other specified cryotherapy to sympathetic nerve
A77.9,A77.9: Unspecified cryotherapy to sympathetic nerve
A78.1,A78.1: Radiofrequency controlled thermal destruction of cervical sympathetic nerve
A78.2,A78.2: Radiofrequency controlled thermal destruction of thoracic sympathetic nerve
A78.3,A78.3: Radiofrequency controlled thermal destruction of lumbar sympathetic nerve
A78.4,A78.4: Radiofrequency controlled thermal destruction of perivascular sympathetic nerve
A78.5,A78.5: Radiofrequency controlled thermal destruction of splanchnic sympathetic nerve
A78.8,A78.8: Other specified radiofrequency controlled thermal destruction of sympathetic nerve
A78.9,A78.9: Unspecified radiofrequency controlled thermal destruction of sympathetic nerve
A79.1,A79.1: Destruction of cervical sympathetic nerve NEC
A79.2,A79.2: Destruction of thoracic sympathetic nerve NEC
A79.3,A79.3: Destruction of lumbar sympathetic nerve NEC
A79.4,A79.4: Destruction of perivascular sympathetic nerve NEC
A79.5,A79.5: Destruction of splanchnic sympathetic nerve NEC
A79.8,A79.8: Other specified other destruction of sympathetic nerve
A79.9,A79.9: Unspecified other destruction of sympathetic nerve
A81.1,A81.1: Stellate ganglion blockade
A81.2,A81.2: Injection of therapeutic substance around sympathetic nerve
A81.8,A81.8: Other specified other operations on sympathetic nerve
A81.9,A81.9: Unspecified other operations on sympathetic nerve
A82.1,A82.1: Quantitative sensory testing
A82.2,A82.2: Electro-oculography
A82.3,A82.3: Multifocal electroretinography
A82.8,A82.8: Other specified other neurophysiological operations
A82.9,A82.9: Unspecified other neurophysiological operations
A83.8,A83.8: Other specified electroconvulsive therapy
A83.9,A83.9: Unspecified electroconvulsive therapy
A84.1,A84.1: Electroencephalography NEC
A84.2,A84.2: Electromyography
A84.3,A84.3: Nerve conduction studies
A84.4,A84.4: Evoked potential recording
A84.5,A84.5: Electroretinography NEC
A84.6,A84.6: Pattern electroretinography
A84.7,A84.7: Sleep studies NEC
A84.8,A84.8: Other specified neurophysiological operations
A84.9,A84.9: Unspecified neurophysiological operations
B01.1,B01.1: Transethmoidal hypophysectomy
B01.2,B01.2: Trans-sphenoidal hypophysectomy
B01.3,B01.3: Trans-septal hypophysectomy
B01.4,B01.4: Transcranial hypophysectomy
B01.8,B01.8: Other specified excision of pituitary gland
B01.9,B01.9: Unspecified excision of pituitary gland
B02.1,B02.1: Cryotherapy to pituitary gland
B02.2,B02.2: Implantation of radioactive substance into pituitary gland
B02.3,B02.3: Injection of destructive substance into pituitary gland NEC
B02.8,B02.8: Other specified destruction of pituitary gland
B02.9,B02.9: Unspecified destruction of pituitary gland
B04.1,B04.1: Excision of lesion of pituitary gland
B04.2,B04.2: Biopsy of lesion of pituitary gland
B04.3,B04.3: Decompression of pituitary gland
B04.4,B04.4: Exploration of pituitary gland
B04.5,B04.5: Operations on pituitary stalk
B04.8,B04.8: Other specified other operations on pituitary gland
B04.9,B04.9: Unspecified other operations on pituitary gland
B06.1,B06.1: Excision of pineal gland
B06.8,B06.8: Other specified operations on pineal gland
B06.9,B06.9: Unspecified operations on pineal gland
B08.1,B08.1: Total thyroidectomy
B08.2,B08.2: Subtotal thyroidectomy
B08.3,B08.3: Hemithyroidectomy
B08.4,B08.4: Lobectomy of thyroid gland NEC
B08.5,B08.5: Isthmectomy of thyroid gland
B08.6,B08.6: Partial thyroidectomy NEC
B08.8,B08.8: Other specified excision of thyroid gland
B08.9,B08.9: Unspecified excision of thyroid gland
B09.1,B09.1: Excision of substernal thyroid tissue
B09.2,B09.2: Excision of sublingual thyroid tissue
B09.8,B09.8: Other specified operations on aberrant thyroid tissue
B09.9,B09.9: Unspecified operations on aberrant thyroid tissue
B10.1,B10.1: Excision of thyroglossal cyst
B10.2,B10.2: Excision of thyroglossal tract
B10.3,B10.3: Biopsy of lesion of thyroglossal tract
B10.4,B10.4: Incision of thyroglossal cyst
B10.8,B10.8: Other specified operations on thyroglossal tissue
B10.9,B10.9: Unspecified operations on thyroglossal tissue
B12.1,B12.1: Excision of lesion of thyroid gland
B12.2,B12.2: Biopsy of lesion of thyroid gland
B12.3,B12.3: Incision of lesion of thyroid gland
B12.4,B12.4: Exploration of thyroid gland
B12.5,B12.5: Percutaneous drainage of lesion of thyroid gland
B12.8,B12.8: Other specified other operations on thyroid gland
B12.9,B12.9: Unspecified other operations on thyroid gland
B14.1,B14.1: Global parathyroidectomy and transposition of parathyroid tissue
